Module,Section,Check ID,Priority,Check Item,Steps,Expected Result,Pass (Y/N/NA),Notes,Tester,Date,Environment
Designer,Tools & Objects,DSG-01,P0,Place offense/defense players,O/P and X shortcuts,"Markers snap, labels editable",,,,,
Designer,Tools & Objects,DSG-02,P0,"Draw pass, cut, dribble, screen, shot",L then C/P/B/R/S,"Actions on court, sequence panel",,,,,
Designer,Tools & Objects,DSG-03,P1,Ball on drill (B),,Ball ring on player,,,,,
Designer,Tools & Objects,DSG-04,P1,"Text, cone, flag, shadow, zone tools",,Objects place and edit,,,,,
Designer,Tools & Objects,DSG-05,P1,Delete selected (Delete key),,Object/action removed,,,,,
Designer,Tools & Objects,DSG-06,P0,Undo/redo (Ctrl+Z / Ctrl+Shift+Z),,5+ steps reversible,,,,,
Designer,Frames & Animation,DSG-10,P0,Add/duplicate/delete frames,,Frame strip updates,,,,,
Designer,Frames & Animation,DSG-11,P0,Animation playback,,"Smooth, ball transfers",,,,,
Designer,Frames & Animation,DSG-12,P1,Player propagation across frames,,Positions propagate per rules,,,,,
Designer,Frames & Animation,DSG-13,P1,Frame notes rich text,,Notes save and print,,,,,
Designer,Frames & Animation,DSG-14,P2,Import frame from library play,,Frame content copied,,,,,
Designer,Frames & Animation,DSG-15,P2,Mirror frame (Ctrl+Shift+M),,Horizontal mirror,,,,,
Designer,Frames & Animation,DSG-16,P2,Formations / FastBuild,,Preset layout applied,,,,,
Designer,Court Settings,DSG-20,P1,Half vs full court,,Layout changes,,,,,
Designer,Court Settings,DSG-21,P1,Court template (NCAA/NBA/FIBA/HS),,Lines match template,,,,,
Designer,Court Settings,DSG-22,P2,Wood texture + line toggles,,Visual updates,,,,,
Designer,Save & Export,DSG-30,P0,Save persists to library,Edit → navigate away → return,Changes kept,,,,,
Designer,Save & Export,DSG-31,P1,Unsaved changes guard,,Prompt on leave,,,,,
Designer,Save & Export,DSG-32,P1,Share link from designer,,Valid #s= URL,,,,,
Designer,Save & Export,DSG-33,P2,Export MP4 animation,,Video downloads (Chrome/Edge),,,,,
Designer,Save & Export,DSG-34,P2,Export PNG frames,,Images download,,,,,
Designer,Save & Export,DSG-35,P2,Print from designer,,Print overlay works,,,,,
